Method,Instance,N,Optimal_K,Euristich_K,Q,Cost,Optimal_Value,Optimality_Gap(%),Optimality_K_Gap(%),Processing_Time(s)
My-Euristich,XML100_1212_23,100,20,25.0,5,28446.0,20011.0,42.15,25.0,0.007556
My-Euristich,XML100_1212_24,100,20,25.0,5,30838.0,20150.0,53.04,25.0,0.010105
My-Euristich,XML100_2312_16,100,20,25.0,5,30399.0,18540.0,63.96,25.0,0.005484
My-Euristich,XML100_2312_20,100,20,25.0,5,30330.0,17970.0,68.78,25.0,0.005238
My-Euristich,XML100_2312_12,100,20,25.0,5,33595.0,20348.0,65.1,25.0,0.005517
My-Euristich,XML100_2312_19,100,20,25.0,5,34948.0,18462.0,89.3,25.0,0.005999
My-Euristich,XML100_2312_22,100,20,25.0,5,32246.0,20060.0,60.75,25.0,0.005294
My-Euristich,XML100_2312_15,100,20,25.0,5,35319.0,19460.0,81.5,25.0,0.005753
My-Euristich,XML100_2312_25,100,20,25.0,5,38659.0,21399.0,80.66,25.0,0.005305
My-Euristich,XML100_1212_04,100,20,25.0,5,29723.0,22310.0,33.23,25.0,0.005926
My-Euristich,XML100_1212_09,100,20,25.0,5,27657.0,20586.0,34.35,25.0,0.005432
My-Euristich,XML100_2312_05,100,20,25.0,5,29792.0,19194.0,55.22,25.0,0.006007
My-Euristich,XML100_1212_13,100,20,25.0,5,37142.0,29040.0,27.9,25.0,0.005305
My-Euristich,XML100_1216_03,100,4,5.0,25,11895.0,7186.0,65.53,25.0,0.001883
My-Euristich,XML100_1216_14,100,4,5.0,25,9500.0,6835.0,38.99,25.0,0.002044
My-Euristich,XML100_1216_17,100,4,5.0,25,11526.0,8388.0,37.41,25.0,0.002031
My-Euristich,XML100_2312_03,100,20,25.0,5,29432.0,16981.0,73.32,25.0,0.005651
My-Euristich,XML100_2312_10,100,20,25.0,5,30378.0,18641.0,62.96,25.0,0.006061
My-Euristich,XML100_2312_07,100,20,25.0,5,31281.0,17616.0,77.57,25.0,0.005071
My-Euristich,XML100_1312_22,100,20,25.0,5,37700.0,27870.0,35.27,25.0,0.005321
My-Euristich,XML100_2312_11,100,20,25.0,5,34451.0,19019.0,81.14,25.0,0.005146
My-Euristich,XML100_3112_24,100,20,25.0,5,46791.0,34818.0,34.39,25.0,0.005345
My-Euristich,XML100_1312_20,100,20,25.0,5,38498.0,26453.0,45.53,25.0,0.005344
My-Euristich,XML100_3213_01,100,10,12.0,10,26486.0,20930.0,26.55,20.0,0.003186
My-Euristich,XML100_2113_26,100,10,12.0,10,23091.0,13082.0,76.51,20.0,0.003113
My-Euristich,XML100_2113_03,100,10,12.0,10,21324.0,12459.0,71.15,20.0,0.003452
My-Euristich,XML100_3313_26,100,10,12.0,10,26153.0,20102.0,30.1,20.0,0.003254
My-Euristich,XML100_3313_22,100,10,12.0,10,28674.0,20985.0,36.64,20.0,0.003281
My-Euristich,XML100_2115_21,100,5,6.0,20,16871.0,9729.0,73.41,20.0,0.002213
My-Euristich,XML100_2115_20,100,5,6.0,20,16813.0,9188.0,82.99,20.0,0.002228
My-Euristich,XML100_2115_17,100,5,6.0,20,15120.0,9210.0,64.17,20.0,0.00225
My-Euristich,XML100_3213_13,100,10,12.0,10,29307.0,20980.0,39.69,20.0,0.003192
My-Euristich,XML100_1113_02,100,10,12.0,10,22377.0,12795.0,74.89,20.0,0.002919
My-Euristich,XML100_1113_19,100,10,12.0,10,22267.0,12189.0,82.68,20.0,0.002939
My-Euristich,XML100_1113_18,100,10,12.0,10,24933.0,17451.0,42.87,20.0,0.003041
My-Euristich,XML100_1113_17,100,10,12.0,10,26020.0,19367.0,34.35,20.0,0.002984
My-Euristich,XML100_1113_10,100,10,12.0,10,23226.0,15675.0,48.17,20.0,0.003074
My-Euristich,XML100_1113_07,100,10,12.0,10,21496.0,14550.0,47.74,20.0,0.003001
My-Euristich,XML100_1113_06,100,10,12.0,10,22387.0,15063.0,48.62,20.0,0.003107
My-Euristich,XML100_1113_03,100,10,12.0,10,24149.0,16763.0,44.06,20.0,0.002988
My-Euristich,XML100_1113_26,100,10,12.0,10,24081.0,17103.0,40.8,20.0,0.003187
My-Euristich,XML100_3215_11,100,5,6.0,20,15537.0,10965.0,41.7,20.0,0.002204
My-Euristich,XML100_3215_12,100,5,6.0,20,16457.0,12741.0,29.17,20.0,0.002189
My-Euristich,XML100_3215_17,100,5,6.0,20,15433.0,11169.0,38.18,20.0,0.002336
My-Euristich,XML100_3215_19,100,5,6.0,20,17245.0,12663.0,36.18,20.0,0.00222
My-Euristich,XML100_1313_16,100,10,12.0,10,20269.0,13678.0,48.19,20.0,0.003264
My-Euristich,XML100_1313_17,100,10,12.0,10,23008.0,16024.0,43.58,20.0,0.003287
My-Euristich,XML100_1113_20,100,10,12.0,10,26688.0,18200.0,46.64,20.0,0.003049
My-Euristich,XML100_1313_20,100,10,12.0,10,20520.0,15026.0,36.56,20.0,0.003103
My-Euristich,XML100_2113_10,100,10,12.0,10,21254.0,12586.0,68.87,20.0,0.003201
My-Euristich,XML100_2113_13,100,10,12.0,10,22326.0,12747.0,75.15,20.0,0.003098
My-Euristich,XML100_2113_16,100,10,12.0,10,22230.0,12595.0,76.5,20.0,0.003434
My-Euristich,XML100_2113_23,100,10,12.0,10,21020.0,12981.0,61.93,20.0,0.003313
My-Euristich,XML100_2113_21,100,10,12.0,10,23174.0,12965.0,78.74,20.0,0.003167
