Method,Instance,N,K,Q,Cost,Optimal_Value,Optimality_Gap(%),Processing_Time(s)
My-Euristich,XML100_1325_26,100,0,88,None,10744.0,100.0,0.000007
My-Euristich,XML100_1325_27,100,0,96,None,9323.0,100.0,0.000005
My-Euristich,XML100_1326_01,100,0,174,None,8876.0,100.0,0.000005
My-Euristich,XML100_1326_02,100,0,182,None,8161.0,100.0,0.000008
My-Euristich,XML100_1326_03,100,0,206,None,7680.0,100.0,0.000014
My-Euristich,XML100_1326_04,100,0,293,None,7682.0,100.0,0.000007
My-Euristich,XML100_1326_05,100,0,149,None,8673.0,100.0,0.000006
My-Euristich,XML100_1326_06,100,0,136,None,7897.0,100.0,0.000009
My-Euristich,XML100_1326_07,100,0,210,None,7501.0,100.0,0.000013
My-Euristich,XML100_1326_08,100,0,148,None,8069.0,100.0,0.000007
My-Euristich,XML100_1326_09,100,0,170,None,7932.0,100.0,0.000007
My-Euristich,XML100_1326_10,100,0,155,None,9930.0,100.0,0.000009
My-Euristich,XML100_1326_11,100,0,245,None,8752.0,100.0,0.000012
My-Euristich,XML100_1326_12,100,0,267,None,8597.0,100.0,0.000006
My-Euristich,XML100_1326_13,100,0,211,None,8350.0,100.0,0.000006
My-Euristich,XML100_1326_14,100,0,232,None,8267.0,100.0,0.000010
My-Euristich,XML100_1326_15,100,0,200,None,9152.0,100.0,0.000013
My-Euristich,XML100_1326_16,100,0,179,None,8976.0,100.0,0.000007
My-Euristich,XML100_1326_17,100,0,283,None,7820.0,100.0,0.000006
My-Euristich,XML100_1326_18,100,0,207,None,8146.0,100.0,0.000006
My-Euristich,XML100_1326_19,100,0,253,None,8169.0,100.0,0.000016
My-Euristich,XML100_1326_20,100,0,266,None,8103.0,100.0,0.000008
My-Euristich,XML100_1326_21,100,0,154,None,9303.0,100.0,0.000006
My-Euristich,XML100_1326_22,100,0,162,None,8187.0,100.0,0.000006
My-Euristich,XML100_1326_23,100,0,237,None,7863.0,100.0,0.000009
My-Euristich,XML100_1326_24,100,0,227,None,8573.0,100.0,0.000012
My-Euristich,XML100_1326_25,100,0,235,None,8262.0,100.0,0.000006
My-Euristich,XML100_1326_26,100,0,172,None,7766.0,100.0,0.000006
My-Euristich,XML100_1326_27,100,0,166,None,9037.0,100.0,0.000007
My-Euristich,XML100_1331_01,100,0,24,None,39385.0,100.0,0.000013
My-Euristich,XML100_1331_02,100,0,32,None,25932.0,100.0,0.000007
My-Euristich,XML100_1331_03,100,0,33,None,38134.0,100.0,0.000006
My-Euristich,XML100_1331_04,100,0,26,None,44124.0,100.0,0.000007
My-Euristich,XML100_1331_05,100,0,36,None,24879.0,100.0,0.000014
My-Euristich,XML100_1331_06,100,0,33,None,24858.0,100.0,0.000007
My-Euristich,XML100_1331_07,100,0,29,None,30241.0,100.0,0.000007
My-Euristich,XML100_1331_08,100,0,25,None,35533.0,100.0,0.000008
My-Euristich,XML100_1331_09,100,0,23,None,45573.0,100.0,0.000017
My-Euristich,XML100_1331_10,100,0,36,None,35931.0,100.0,0.000010
My-Euristich,XML100_1331_11,100,0,34,None,25444.0,100.0,0.000006
My-Euristich,XML100_1331_12,100,0,36,None,24472.0,100.0,0.000006
My-Euristich,XML100_1331_13,100,0,24,None,41725.0,100.0,0.000015
My-Euristich,XML100_1331_14,100,0,30,None,36316.0,100.0,0.000010
My-Euristich,XML100_1331_15,100,0,33,None,26589.0,100.0,0.000008
My-Euristich,XML100_1331_16,100,0,38,None,24491.0,100.0,0.000006
My-Euristich,XML100_1331_17,100,0,31,None,24710.0,100.0,0.000017
My-Euristich,XML100_1331_18,100,0,29,None,28385.0,100.0,0.000032
My-Euristich,XML100_1331_19,100,0,28,None,28400.0,100.0,0.000027
My-Euristich,XML100_1331_20,100,0,29,None,34278.0,100.0,0.000025
My-Euristich,XML100_1331_21,100,0,27,None,43827.0,100.0,0.000026
My-Euristich,XML100_1331_22,100,0,26,None,46457.0,100.0,0.000033
My-Euristich,XML100_1331_23,100,0,30,None,25137.0,100.0,0.000022
My-Euristich,XML100_1331_24,100,0,35,None,30419.0,100.0,0.000019
My-Euristich,XML100_1331_25,100,0,26,None,33686.0,100.0,0.000024
My-Euristich,XML100_1331_26,100,0,33,None,25977.0,100.0,0.000039
My-Euristich,XML100_1331_27,100,0,30,None,30645.0,100.0,0.000062
My-Euristich,XML100_1332_01,100,0,49,None,22224.0,100.0,0.000011
My-Euristich,XML100_1332_02,100,0,57,None,18876.0,100.0,0.000008
